Year,Accuracy,ROI,TrainSamples
2016,0.6084021005251313,0.0,1721
2017,0.5976243504083147,0.0,3054
2018,0.6360182370820668,0.0,4401
2019,0.6093133385951065,0.0,5717
2020,0.5588785046728972,0.0,6984
2021,0.5914972273567468,0.0,7519
2022,0.5909090909090909,0.0,9142
2023,0.6031872509960159,0.0,10484
2024,0.6114890400604687,0.0,11739
2025,0.6052631578947368,0.0,13062
