Year,MAE
2016,15.26251670568399
2017,15.023565381566241
2018,15.652428682089576
2019,15.578133177362094
2020,15.098868739047898
2021,15.458680844497916
2022,15.099039535408759
2023,15.063878421859437
2024,15.595200899777229
2025,15.039025630677145
